Menu Item,Calories (kcal),Fat Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Allergens
M&M¡¯s¢ç Chocolate Candy Blizzard -Mini,370.0,110.0,12.0,8.0,0.0,30.0,125.0,58.0,1.0,50.0,8.0,M\S\(E)\(P)\(T)\(W)
M&M¡¯s¢ç Chocolate Candy Blizzard - Small,630.0,190.0,21.0,13.0,0.5,50.0,210.0,99.0,1.0,85.0,13.0,M\S\(E)\(P)\(T)\(W)
M&M¡¯s¢ç Chocolate Candy Blizzard - Medium,800.0,240.0,27.0,17.0,1.0,60.0,250.0,124.0,2.0,107.0,16.0,M\S\(E)\(P)\(T)\(W)
M&M¡¯s¢ç Chocolate Candy Blizzard - Large,1100.0,320.0,36.0,23.0,1.0,80.0,350.0,173.0,3.0,150.0,22.0,M\S\(E)\(P)\(T)\(W)
OREO¢ç Cookie Blizzard - Mini,380.0,130.0,14.0,7.0,0.0,30.0,180.0,56.0,0.0,44.0,8.0,M\S\W
OREO¢ç Cookie Blizzard - Small,620.0,210.0,24.0,12.0,0.5,40.0,300.0,91.0,1.0,70.0,12.0,M\S\W
OREO¢ç Cookie Blizzard - Medium,790.0,280.0,31.0,15.0,1.0,50.0,400.0,117.0,1.0,88.0,14.0,M\S\W
OREO¢ç Cookie Blizzard - Large,1140.0,400.0,44.0,21.0,1.0,75.0,570.0,169.0,2.0,128.0,21.0,M\S\W
OREO¢ç Hot Cocoa Blizzard - Mini,470.0,190.0,21.0,11.0,0.5,30.0,210.0,63.0,1.0,50.0,8.0,M\S\W
OREO¢ç Hot Cocoa Blizzard - Small,800.0,320.0,35.0,17.0,1.0,50.0,380.0,111.0,2.0,86.0,14.0,M\S\W
OREO¢ç Hot Cocoa Blizzard - Medium,1050.0,410.0,45.0,22.0,1.5,65.0,500.0,147.0,2.0,113.0,19.0,M\S\W
OREO¢ç Hot Cocoa Blizzard - Large,1390.0,540.0,60.0,28.0,1.5,80.0,680.0,195.0,4.0,150.0,24.0,M\S\W
Reese's¢ç Peanut Butter Cups Blizzard - Mini,360.0,130.0,14.0,7.0,0.0,30.0,170.0,50.0,1.0,43.0,9.0,M\P\S\(E)\(T)\(W)
Reese's¢ç Peanut Butter Cups Blizzard - Small,570.0,210.0,23.0,12.0,0.5,45.0,290.0,79.0,1.0,68.0,15.0,M\P\S\(E)\(T)\(W)
Reese's¢ç Peanut Butter Cups Blizzard - Medium,750.0,280.0,31.0,16.0,1.0,60.0,380.0,102.0,2.0,88.0,19.0,M\P\S\(E)\(T)\(W)
Reese's¢ç Peanut Butter Cups Blizzard - Large,1000.0,380.0,42.0,21.0,1.0,80.0,510.0,136.0,3.0,118.0,25.0,M\P\S\(E)\(T)\(W)
Reese's¢ç Take Five Blizzard - Mini,430.0,170.0,18.0,8.0,0.0,30.0,310.0,56.0,2.0,44.0,11.0,M\P\S\W\(E)\(T)
Reese's¢ç Take Five Blizzard - Small,770.0,310.0,34.0,15.0,0.5,50.0,580.0,99.0,3.0,76.0,21.0,M\P\S\W\(E)\(T)
Reese's¢ç Take Five Blizzard - Medium,1120.0,440.0,49.0,21.0,1.0,65.0,860.0,145.0,5.0,111.0,29.0,M\P\S\W\(E)\(T)
Reese's¢ç Take Five Blizzard - Large,1510.0,590.0,66.0,28.0,1.5,90.0,1150.0,198.0,6.0,151.0,39.0,M\P\S\W\(E)\(T)
Royal New York Cheesecake Blizzard Filled with Strawberry - Mini,450.0,160.0,18.0,8.0,0.5,40.0,220.0,65.0,1.0,53.0,8.0,E\M\S\W\(P)\(T)
Royal New York Cheesecake Blizzard Filled with Strawberry - Small,750.0,290.0,32.0,15.0,1.0,75.0,380.0,102.0,2.0,82.0,14.0,E\M\S\W\(P)\(T)
Royal New York Cheesecake Blizzard Filled with Strawberry - Medium,1040.0,410.0,46.0,21.0,1.5,105.0,530.0,140.0,2.0,112.0,19.0,E\M\S\W\(P)\(T)
Royal New York Cheesecake Blizzard Filled with Strawberry - Large,1350.0,540.0,61.0,28.0,2.0,135.0,700.0,177.0,3.0,141.0,25.0,E\M\S\W\(P)\(T)
Royal Ultimate Choco Brownie Blizzard Filled with Fudge - Mini,480.0,190.0,21.0,13.0,0.0,30.0,220.0,68.0,2.0,55.0,9.0,E\M\S\W
Royal Ultimate Choco Brownie Blizzard Filled with Fudge - Small,770.0,300.0,34.0,20.0,0.5,45.0,350.0,107.0,4.0,86.0,14.0,E\M\S\W
Royal Ultimate Choco Brownie Blizzard Filled with Fudge - Medium,1040.0,410.0,45.0,29.0,1.0,65.0,480.0,146.0,5.0,117.0,19.0,E\M\S\W
Royal Ultimate Choco Brownie Blizzard Filled with Fudge - Large,1340.0,540.0,60.0,36.0,1.0,80.0,620.0,186.0,8.0,148.0,25.0,E\M\S\W
Snickers¢ç Blizzard - Mini,350.0,100.0,12.0,7.0,0.0,30.0,150.0,53.0,0.0,45.0,8.0,E\M\P\S\(T)
Snickers¢ç Blizzard - Small,610.0,180.0,20.0,11.0,0.5,50.0,260.0,92.0,1.0,78.0,14.0,E\M\P\S\(T)
Snickers¢ç Blizzard - Medium,800.0,250.0,28.0,15.0,1.0,65.0,340.0,120.0,1.0,102.0,19.0,E\M\P\S\(T)
Snickers¢ç Blizzard - Large,1060.0,320.0,36.0,20.0,1.0,80.0,450.0,162.0,2.0,138.0,24.0,E\M\P\S\(T)
Snickers¢ç Brownie Blizzard - Mini,410.0,130.0,15.0,8.0,0.0,30.0,200.0,60.0,1.0,48.0,9.0,E\M\P\S\W\(T)
Snickers¢ç Brownie Blizzard - Small,710.0,240.0,26.0,14.0,1.0,50.0,350.0,105.0,2.0,82.0,15.0,E\M\P\S\W\(T)
Snickers¢ç Brownie Blizzard - Medium,1010.0,340.0,37.0,20.0,1.0,70.0,510.0,151.0,3.0,118.0,21.0,E\M\P\S\W\(T)
Snickers¢ç Brownie Blizzard - Large,1350.0,450.0,50.0,26.0,1.5,90.0,680.0,203.0,4.0,158.0,28.0,E\M\P\S\W\(T)
Turtle Pecan Cluster Blizzard - Mini,430.0,200.0,22.0,14.0,0.0,30.0,160.0,51.0,1.0,42.0,8.0,M\S\T
Turtle Pecan Cluster Blizzard - Small,680.0,300.0,34.0,18.0,0.5,50.0,270.0,84.0,2.0,68.0,14.0,M\S\T
Turtle Pecan Cluster Blizzard - Medium,1020.0,470.0,52.0,29.0,1.0,65.0,390.0,123.0,3.0,99.0,18.0,M\S\T
Turtle Pecan Cluster Blizzard - Large,1370.0,640.0,71.0,41.0,1.5,85.0,510.0,165.0,4.0,132.0,24.0,M\S\T
Very Cherry Chip Blizzard - Mini,320.0,100.0,11.0,7.0,0.0,30.0,115.0,48.0,1.0,41.0,7.0,M\S
Very Cherry Chip Blizzard - Small,550.0,170.0,19.0,13.0,0.5,50.0,190.0,84.0,1.0,72.0,12.0,M\S
Very Cherry Chip Blizzard - Medium,730.0,230.0,25.0,18.0,1.0,65.0,250.0,113.0,2.0,97.0,16.0,M\S
Very Cherry Chip Blizzard - Large,920.0,290.0,32.0,22.0,1.0,80.0,310.0,143.0,2.0,122.0,20.0,M\S
Banana Shake - Large,750.0,240.0,27.0,19.0,1.5,75.0,310.0,109.0,2.0,88.0,21.0,M\S
Banana Shake - Medium,590.0,200.0,22.0,16.0,1.0,55.0,240.0,83.0,1.0,68.0,16.0,M\S
Banana Shake - Small,470.0,170.0,19.0,13.0,1.0,45.0,190.0,64.0,1.0,53.0,13.0,M\S
Caramel Shake - Large,980.0,280.0,31.0,21.0,1.5,85.0,450.0,154.0,0.0,124.0,22.0,M\S
Caramel Shake - Medium,750.0,220.0,25.0,17.0,1.5,65.0,330.0,115.0,0.0,93.0,17.0,M\S
Caramel Shake - Small,550.0,180.0,20.0,14.0,1.0,50.0,240.0,79.0,0.0,65.0,13.0,M\S
Chocolate Shake - Large,920.0,250.0,28.0,19.0,1.5,75.0,390.0,147.0,2.0,128.0,21.0,M\S
Chocolate Shake - Medium,710.0,210.0,23.0,16.0,1.0,60.0,290.0,110.0,1.0,96.0,16.0,M\S
Chocolate Shake - Small,530.0,170.0,19.0,14.0,1.0,45.0,220.0,77.0,1.0,67.0,13.0,M\S
Hot Fudge Shake - Large,990.0,340.0,38.0,29.0,1.5,75.0,440.0,140.0,1.0,112.0,23.0,M\S
Hot Fudge Shake - Medium,750.0,270.0,30.0,23.0,1.5,60.0,330.0,105.0,1.0,85.0,17.0,M\S
Hot Fudge Shake - Small,550.0,200.0,22.0,17.0,1.0,45.0,240.0,75.0,0.0,61.0,13.0,M\S
Make It A Malt Adds - Large,110.0,10.0,1.0,1.0,0.0,5.0,105.0,23.0,1.0,16.0,2.0,M\W
Make It A Malt Adds - Medium,80.0,10.0,1.0,0.5,0.0,5.0,80.0,18.0,1.0,12.0,1.0,M\W
Make It A Malt Adds - Small,60.0,5.0,0.5,0.0,0.0,0.0,50.0,12.0,0.0,8.0,1.0,M\W
Peanut Butter Shake - Large,1250.0,650.0,72.0,26.0,1.5,75.0,830.0,119.0,4.0,89.0,30.0,M\P\S\(T)
Peanut Butter Shake - Medium,930.0,480.0,53.0,20.0,1.0,60.0,590.0,91.0,3.0,69.0,22.0,M\P\S\(T)
Peanut Butter Shake - Small,640.0,310.0,34.0,16.0,1.0,45.0,370.0,67.0,1.0,54.0,16.0,M\P\S\(T)
Strawberry Shake - Large,800.0,250.0,27.0,19.0,1.5,75.0,340.0,120.0,1.0,105.0,21.0,M\S
Strawberry Shake - Medium,630.0,200.0,23.0,16.0,1.0,60.0,260.0,92.0,1.0,80.0,16.0,M\S
Strawberry Shake - Small,490.0,170.0,19.0,14.0,1.0,45.0,200.0,68.0,0.0,59.0,13.0,M\S
Vanilla Shake - Large,860.0,260.0,29.0,20.0,1.5,80.0,340.0,127.0,0.0,112.0,22.0,M\S
Vanilla Shake - Medium,660.0,210.0,23.0,16.0,1.0,60.0,260.0,97.0,0.0,85.0,16.0,M\S
Vanilla Shake - Small,520.0,170.0,19.0,14.0,1.0,50.0,200.0,73.0,0.0,65.0,13.0,M\S
Caramel MooLatte - Large,780.0,190.0,21.0,15.0,1.0,50.0,320.0,135.0,0.0,113.0,13.0,M\S
Caramel MooLatte - Medium,620.0,160.0,18.0,13.0,1.0,40.0,240.0,103.0,0.0,87.0,10.0,M\S
Caramel MooLatte - Small,490.0,140.0,15.0,11.0,1.0,30.0,190.0,81.0,0.0,69.0,8.0,M\S
Mocha MooLatte - Large,780.0,260.0,29.0,16.0,1.0,50.0,310.0,121.0,2.0,106.0,14.0,M\S
Mocha MooLatte - Medium,620.0,210.0,23.0,14.0,1.0,40.0,240.0,94.0,2.0,82.0,11.0,M\S
Mocha MooLatte - Small,500.0,160.0,18.0,12.0,1.0,30.0,180.0,76.0,1.0,67.0,9.0,M\S
Vanilla MooLatte - Large,700.0,170.0,19.0,14.0,1.0,45.0,240.0,121.0,0.0,109.0,12.0,M\S
Vanilla MooLatte - Medium,560.0,150.0,17.0,12.0,1.0,35.0,190.0,93.0,0.0,84.0,9.0,M\S
Vanilla MooLatte - Small,450.0,130.0,14.0,11.0,1.0,30.0,150.0,74.0,0.0,67.0,7.0,M\S
Mango Misty¢ç Freeze - Large,640.0,140.0,15.0,10.0,1.0,50.0,210.0,115.0,0.0,101.0,12.0,M
Mango Misty¢ç Freeze - Medium,490.0,110.0,12.0,8.0,0.5,40.0,170.0,86.0,0.0,75.0,10.0,M
Mango Misty¢ç Freeze - Small,390.0,90.0,10.0,6.0,0.0,30.0,130.0,69.0,0.0,60.0,8.0,M
Mango Misty¢ç Slush - Large,390.0,0.0,0.0,0.0,0.0,0.0,60.0,99.0,0.0,95.0,0.0,
Mango Misty¢ç Slush - Medium,290.0,0.0,0.0,0.0,0.0,0.0,45.0,74.0,0.0,71.0,0.0,
