표지일련번호,표지종별,x,y,근거리사진1,근거리사진2,근거리사진3,근거리사진4,근거리사진5,원거리사진1,원거리사진2,경도,위도
"RR-1136[중산간동로]-상-142","1지명방향표지","188754.97","-5270.54","/2005-04-20/NR16U/NR-16-상-186.jpg","","","","","/2001-8-23/국도16서동/국도-16-서동-187원거리.jpg","","126.87993337","33.44882776"
"RR-1136[아연로]-상-91","3방향표지","157511.93","-1983.4","/2012-05-29/RR1136U/4.jpg","","","","","","","126.54376189","33.47759419"
"UR(서귀포시)-[세성로]-상-9","2방향표지","181084.71","-18833.49","/2006-06-02/GRP090477U/군도77-3-2(원거리).jpg","","","","","/2006-06-02/GRP090477U/군도77-3-1(근거리).jpg","","126.79766830","33.32645662"
"RR-1118[남조로]-하-7","단일노선표지","167412.37","-735.22","/2003-12-04/RR1118D/RR-1118-하-7(8).jpg","","","","","/2001-8-21/지방도1118북남/지방도-1118-북남-5원거리.jpg","","126.65025237","33.48927793"
"RR-1118[남조로]-하-10","단일노선표지","168413.37","-3859.36","","","","","","/2001-8-21/지방도1118북남/지방도-1118-북남-9원거리.jpg","","126.66120206","33.46118121"
"RR-1135[평화로]-상-49","3방향표지","147300.59","-5465.71","/2006-01-09/NR95U/nr-95-상-17(1).jpg","","","","","/2006-01-09/NR95U/NR-95-상-149.jpg","","126.43422213","33.44573764"
"RR-1136[중산간동로]-상-134","1지명방향표지","183076.23","-3968.06","/2005-04-20/NR16U/NR-16-상-180.jpg","","","","","/2001-8-23/국도16서동/국도-16-서동-181원거리.jpg","","126.81881340","33.46055048"
"RR-1136[노연로]-상-405","2지명이정표지","151912.29","-1047.94","/2001-8-23/국도16서동/국도-16-서동-124근거리1.jpg","","","","","/2001-8-23/국도16서동/국도-16-서동-124원거리.jpg","","126.48346694","33.48602563"
"UR(서귀포시)-[노을해안로]-상-11","2방향표지","127717.32","-27745.34","/2003-09-24/GRP09046U/GR(P0904)-6-상-6(4).jpg","","","","","/2003-09-24/GRP09046U/GR(P0904)-6-상-6(5).jpg","","126.22538228","33.24383167"
"UR(서귀포시)-[부두로]-하-4","3방향표지","159331.11","-28331.17","/2003-12-19/URP0902칠십리로U/칠십리로 중동,근.jpg","","","","","/2003-12-19/URP0902칠십리로U/칠십리로 중동,원(2).jpg","","126.56467793","33.24017908"
"RR-1115[산록남로]-상-6","시/군계표지","144318.74","-21502.43","","","","","","/2001-8-22/지방도1115서동/지방도-1115-서동-5원거리.jpg","","126.40304058","33.30111147"
"RR-97[표선중앙로]-상-53","3방향표지","184016.83","-18177.75","/2003-12-10/RR97U/s4100069(1).jpg","","","","","/2003-12-10/RR97U/s4100069.jpg","","126.82935292","33.33244813"
"RR-97[번영로]-하-51","3방향표지","183993.61","-18096.47","/2003-12-10/RR97D/s4100071.jpg","","","","","/2003-12-10/RR97D/s4100072.jpg","","126.82905293","33.33315638"
"RR-97[번영로]-하-52","분기점표지","183977.05","-18022.07","/2003-12-10/RR97D/s4100073.jpg","","","","","/2003-12-10/RR97D/s4100074.jpg","","126.82885293","33.33382297"
"RR-97[번영로]-하-55","분기점표지","183726.47","-16751.76","/2003-12-10/RR97D/s4100079.jpg","","","","","/2003-12-10/RR97D/s4100080.jpg","","126.82609041","33.34526333"
"RR-1132[일주동로]-하-341","2방향표지","185524.51","-17268.22","/2005-04-21/NR12D/NR-12-하-109(1).jpg","","","","","/2005-04-21/NR12D/NR-12-하-109.jpg","","126.84530135","33.34067248"
"RR-1136[아연로]-상-80","2방향예고표지","154859.51","-3162.94","/2012-05-29/RR1136U/10.jpg","","","","","","","126.51530210","33.46703657"
"UR(서귀포시)-[산방로]-하-22","2지명방향표지","135445.88","-28788.24","/2006-05-26/GRP09048D/군도8-4-1(근거리).jpg","","","","","/2006-05-26/GRP09048D/군도8-4-2(원거리).jpg","","126.30828778","33.23491729"
"RR-1131[516로]-상-89","분기점표지","161063.02","-25885.58","","","","","","/2006-01-06/NR11U/분기점500.jpg","","126.58300085","33.26231860"
"RR-1118[남조로]-하-18","2지명이정표지","170297.78","-9935.4","/2003-12-06/RR1118D/RR-1118-하-18(1).jpg","","","","","/2003-12-06/RR1118D/RR-1118-하-18.jpg","","126.68167653","33.40644592"
"UR(서귀포시)-[원님서로]-하-2","3방향표지","172096.14","-21107.37","/2006-02-13/GRP090428위미-수망D/군도28-3-1(근거리).jpg","","","","","/2006-02-13/GRP090428위미-수망D/군도28-3-2(원거리)(1).jpg","","126.70116463","33.30586568"
"UR(서귀포시)-[하례로]-상-8","2방향표지","163978.89","-21682.34","/2006-02-13/GRP090449하례-직사동U/군도49-3-1(근거리).jpg","","","","","/2006-02-13/GRP090449하례-직사동U/군도49-3-2(원거리).jpg","","126.61423478","33.30031490"
"UR(서귀포시)-[중산간서로1813번길]-하-2","3방향표지","136570.16","-24718.64","/2006-02-17/GRP090433D/군도33-9-1(근거리).jpg","","","","","/2006-02-17/GRP090433D/군도33-9-2(원거리).jpg","","126.32008594","33.27166342"
"UR(서귀포시)-[화순서동로]-하-1","3방향표지","137898.55","-26896.89","/2006-02-17/GRP090437D/군도37-2-1(근거리).jpg","","","","","/2006-02-17/GRP090437D/군도37-2-2(원거리).jpg","","126.33443513","33.25217413"
"UR(서귀포시)-[대평감산로]-상-1","2방향표지","139625.46","-26270.13","/2006-02-17/GRP090441U/군도41-1-1(근거리).jpg","","","","","/2006-02-17/GRP090441U/군도41-1-2(원거리).jpg","","126.35303339","33.25790712"
"UR(서귀포시)-[병악로]-하-1","2방향표지","140398.12","-24150.22","/2006-02-17/GRP090443D/군도43-1-1(근거리).jpg","","","","","/2006-02-17/GRP090443D/군도43-1-2(원거리).jpg","","126.36116975","33.27703014"
"RR-1116[동광로]-상-54","1지명방향표지","138526.25","-20470.9","","","","","","/2006-02-16/GRP090416U/군도16-5-2(원거리).jpg","","126.34087078","33.31004284"
"UR(서귀포시)-[세성로]-상-10","2지명방향표지","180866.79","-18098.38","/2006-06-02/GRP090436U/GR(P0904)-36-상-1(1).jpg","","","","","/2006-06-02/GRP090436U/GR(P0904)-36-상-1.jpg","","126.79536835","33.33311418"
"UR(서귀포시)-[원님로]-상-15","2지명방향표지","177695.4","-15783.64","/2006-06-02/GRP090438U/GR(P0904)-38-상-2(2).jpg","","","","","/2006-06-02/GRP090438U/GR(P0904)-38-상-2.jpg","","126.76125833","33.35386967"
"UR(서귀포시)-[민속해안로]-하-1","2방향표지","181881.41","-21024.16","/2006-02-17/GRP090440D/군도40-1-1(근거리).jpg","","","","","/2006-02-17/GRP090440D/군도40-1-2(원거리).jpg","","126.80620551","33.30672560"
"UR(서귀포시)-[민속해안로]-상-8","3방향도로명표지","184774.4","-18915.85","/2020-01-07/UR000010민속해안로U/2-근경.jpg","","","","","/2020-01-07/UR000010민속해안로U/2-원경.jpg","","126.83735238","33.32574900"
"UR(서귀포시)-[가시로]-상-6","2방향표지","183304.6","-18441.06","/2006-06-02/GRP090442U/GR(P0904)-42-상-1(1).jpg","","","","","/2006-06-02/GRP090442U/GR(P0904)-42-상-1.jpg","","126.82156615","33.33003160"
"UR(서귀포시)-[가시로]-하-7","2방향표지","183245.49","-18411.28","/2006-06-02/GRP090442D/GR(P0904)-42-하-2.jpg","","","","","/2006-02-17/GRP090442D/군도42-2-1(원거리).jpg","","126.82091620","33.33028157"
"UR(서귀포시)-[토산중앙로]-상-1","2지명방향표지","178196.77","-18898.67","/2006-02-17/GRP090473U/군도73-1-1(근거리).jpg","","","","","/2006-02-17/GRP090473U/군도73-1-2(원거리)(1).jpg","","126.76660851","33.32577286"
"UR(서귀포시)-[녹산로]-하-5","3방향표지","178104.73","-14919","/2006-02-17/GRP090475D/군도75-1-1(근거리).jpg","","","","","/2006-05-26/GRP090475D/GR(P0904)-75-하-1.jpg","","126.76565777","33.36171054"
"RR-1112[비자림로]-상-26","1지명이정표지","183119.23","725.7","/2003-12-09/RR1112U/RR-1112-상-26(1).jpg","","","","","/2003-12-09/RR1112U/RR-1112-상-26.jpg","","126.81915067","33.50288047"
"RR-1132[일주동로]-상-299","3방향표지","183359.44","-18487.64","/2005-04-21/NR12U/NR-12-상-21(1).jpg","","","","","/2005-04-21/NR12U/NR-12-상-21.jpg","","126.82224110","33.32968165"
"RR-1132[일주동로]-상-301","3방향표지","183185.25","-19349.1","/2001-8-20/국도12서동/국도-12-서동-1114근거리1.jpg","","","","","/2001-8-20/국도12서동/국도-12-서동-1114원거리.jpg","","126.82034144","33.32182416"
"RR-1132[일주동로]-상-300","3방향예고표지","183229.45","-19100.7","/2001-8-20/국도12서동/국도-12-서동-1113근거리1.jpg","","","","","/2001-8-20/국도12서동/국도-12-서동-1113원거리.jpg","","126.82080385","33.32406558"
"RR-1112[비자림로]-상-22","3방향예고표지","181687.47","-327.1","/2003-12-09/RR1112U/RR-1112-상-22(1).jpg","","","","","/2003-12-09/RR1112U/RR-1112-상-22.jpg","","126.80371396","33.49336328"
"RR-1112[비자림로]-상-23","2방향표지","182388.42","-2.17","/2001-8-23/지방도1112서동/지방도-1112-서동-24근거리1.jpg","","","","","/2001-8-23/지방도1112서동/지방도-1112-서동-24원거리.jpg","","126.81140073","33.49618809"
"RR-1112[비자림로]-상-27","2방향예고표지","184815.2","3295.23","/2003-12-09/RR1112U/RR-1112-상-27(1).jpg","","","","","/2003-12-09/RR1112U/RR-1112-상-27.jpg","","126.83747267","33.52599158"
"RR-1112[비자림로]-상-28","2방향표지","184977.98","3608.57","/2003-12-09/RR1112U/RR-1112-상-28(1).jpg","","","","","/2003-12-09/RR1112U/RR-1112-상-28.jpg","","126.83918589","33.52883883"
"RR-1112[비자림로]-하-4","2방향예고표지","182664.11","395.01","/2001-8-23/지방도1112동서/지방도-1112-동서-1근거리1.jpg","","","","","/2001-8-23/지방도1112동서/지방도-1112-동서-1원거리.jpg","","126.81436754","33.49979425"
"RR-1112[비자림로]-상-20","2방향표지","179770.61","-1941.65","/2001-8-23/지방도1112서동/지방도-1112-서동-19근거리1.jpg","","","","","/2001-8-23/지방도1112서동/지방도-1112-서동-19원거리.jpg","","126.78319107","33.47873956"
"UR(제주시)-[임성로]-하-33","2방향표지","145128.36","-7456.15","/2001-8-22/국가지원지방도95북남/국가지원지방도-95-북남-3근거리1.jpg","","","","","/2001-8-22/국가지원지방도95북남/국가지원지방도-95-북남-3원거리.jpg","","126.41081207","33.42782258"
"UR(제주시)-[유수암평화길]-하-3","2방향예고표지","144977.18","-7607.62","/2001-8-22/국가지원지방도95북남/국가지원지방도-95-북남-4근거리1.jpg","","","","","/2001-8-22/국가지원지방도95북남/국가지원지방도-95-북남-4원거리.jpg","","126.40924973","33.42640605"
"RR-1116[신화역사로]-상-1","2지명이정표지","138461.8","-20477.03","/2001-8-22/국가지원지방도95북남/국가지원지방도-95-북남-8근거리1.jpg","","","","","/2001-8-22/국가지원지방도95북남/국가지원지방도-95-북남-8원거리.jpg","","126.34009072","33.31018418"
"RR-1131[516로]-상-90","단일노선표지","160895.63","-26124.23","","","","","","/2001-8-22/국도11남북/국도-11-남북-8원거리.jpg","","126.58120105","33.26016881"
"UR(서귀포시)-[세성로]-하-1","2방향표지","181966.84","-20924.67","/2006-06-02/GRP090477D/GR(P0904)-77-하-1(1).jpg","","","","","/2006-06-02/GRP090477D/GR(P0904)-77-하-1.jpg","","126.80734289","33.30763385"
"UR(서귀포시)-[세성로]-상-6","2방향표지","181152.66","-18269.72","/2006-06-02/GRP090477U/GR(P0904)-77-상-1(1).jpg","","","","","/2006-06-02/GRP090477U/GR(P0904)-77-상-1.jpg","","126.79838062","33.33151440"
"UR(서귀포시)-[세성로]-하-8","2방향표지","180906.42","-17967.7","","","","","","/2006-02-17/GRP090479D/군도79-1-2(원거리).jpg","","126.79575579","33.33423906"
"UR(제주시)-[오남로]-상-8","3방향표지","154728.16","-3111.16","/2006-05-29/URP0901오남U/크기변환_pict0033.jpg","","","","","/2006-05-29/URP0901오남U/크기변환_pict0032.jpg","","126.51387721","33.46741150"
"UR(서귀포시)-[서광동로]-하-2","3방향표지","137640.2","-23070.83","/2006-02-17/GRP090437D/GR(P0904)-37-하-2.jpg","","","","","/2006-02-17/GRP090437D/군도37-5-2(원거리).jpg","","126.33135963","33.28659528"
"UR(서귀포시)-[덕수동로]-상-2","3방향표지","136548.11","-24793.78","/2006-02-17/GRP090433U/군도33-8-1(근거리).jpg","","","","","/2006-02-17/GRP090433U/군도33-8-2(원거리).jpg","","126.31979848","33.27101348"
"RR-1120[대한로]-하-22","분기점표지","129446.93","-23976.52","/2003-11-17/RR1120D/s4100221.jpg","","","","","/2003-11-17/RR1120D/s4100222.jpg","","126.24324248","33.27789486"
"RR-1136[중산간서로]-하-395","2방향예고표지","134148.67","-14886.08","/2005-04-18/NR16D/NR-16-하-61(1).jpg","","","","","/2005-04-18/NR16D/NR-16-하-61.jpg","","126.29314881","33.36011988"
"RR-1136[노형로]-하-81","1지명방향표지","149447.07","-3147.6","/2006-06-17/NR16D/크기변환_sv102518.jpg","","","","","/2006-06-17/NR16D/크기변환_sv102517.jpg","","126.45689468","33.46692732"
"UR(서귀포시)-[신화역사로685번길]-하-1","2지명방향표지","140270","-20020.02","/2006-02-16/GRP090416D/GR(P0904)-16-하-3.jpg","","","","","/2006-02-16/GRP090416D/군도16-2-2(원거리).jpg","","126.35939408","33.31425933"
"UR(제주시)-[귀덕4길]-하-3","2방향표지","133019.68","-6284.03","/2004-01-07/GRP090327D/81-81.jpg","","","","","/2004-01-07/GRP090327D/81.jpg","","126.28056067","33.43761944"
"UR(서귀포시)-[녹산로]-상-3","2방향표지","173837.84","-10198.62","/2006-02-17/GRP090475U/군도75-2-1(근거리).jpg","","","","","/2006-05-26/GRP090475U/GR(P0904)-75-상-1.jpg","","126.71952330","33.40414678"
"UR(서귀포시)-[상모로]-하-1","3방향표지","131493.19","-29842.35","/2006-02-16/GRP090429D/GR(P0904)-29-하-1.jpg","","","","","/2006-02-16/GRP090429D/군도29-2-2(원거리).jpg","","126.26591668","33.22515937"
"UR(서귀포시)-[추사로]-하-15","1지명방향표지","132233.47","-26908.38","/2006-02-16/GRP09042D/군도2-10-1(근거리).jpg","","","","","/2006-02-16/GRP09042D/군도2-10-2(원거리).jpg","","126.27365292","33.25165656"
"UR(제주시)-[귀덕4길]-상-4","1지명이정표지","133044.94","-6322.95","/2004-01-07/GRP090327U/80-80.jpg","","","","","/2004-01-07/GRP090327U/80.jpg","","126.28088565","33.43734448"
"UR(제주시)-[귀덕4길]-상-3","1지명이정표지","133044.94","-6322.95","/2004-01-07/GRP090327U/80-80.jpg","","","","","/2004-01-07/GRP090327U/80.jpg","","126.28088565","33.43734448"
"UR(제주시)-[귀덕4길]-하-1","2방향예고표지","133243.67","-6551.35","/2004-01-07/GRP090327D/82-82.jpg","","","","","/2004-01-07/GRP090327D/82.jpg","","126.28302301","33.43526974"
"UR(제주시)-[한수풀로]-상-17","3방향예고표지","134108.63","-8461.74","/2004-01-07/GRP090320U/83-83.jpg","","","","","/2004-01-07/GRP090320U/83.jpg","","126.29242258","33.41801347"
"UR(제주시)-[신북로]-하-16","2지명이정표지","165246.33","4444.82","/2004-01-08/GRP090330D/1-1.jpg","","","","","/2004-01-08/GRP090330D/1.jpg","","126.62672835","33.53582240"
"UR(제주시)-[신북로]-하-19","2방향표지","166035.56","4356.62","/2004-01-08/GRP090330D/2-2.jpg","","","","","/2004-01-08/GRP090330D/2.jpg","","126.63520263","33.53519761"
"UR(서귀포시)-[추사로126번길]-상-2","2방향표지","132074.21","-24979.6","/2006-02-16/GRP090499U/군도 99-1-1(근거리).jpg","","","","","/2006-02-16/GRP090499U/군도 99-1-2(원거리).jpg","","126.27185269","33.26905461"
"UR(제주시)-[칠전로]-하-6","3방향표지","129194.55","-24292.54","/2006-02-16/GRP09042D/군도2-1-1(근거리).jpg","","","","","/2006-02-16/GRP09042D/군도2-1-2(원거리).jpg","","126.24080525","33.27500347"
"UR(서귀포시)-[칠전로]-상-12","2지명방향표지","127006.11","-22677.27","/2006-02-16/GRP09042U/군도2-4-1(근거리).jpg","","","","","/2006-02-16/GRP09042U/군도2-4-2(원거리).jpg","","126.21729447","33.28954316"
"UR(서귀포시)-[노을해안로]-하-20","1지명방향표지","123400.18","-24992.11","","","","","","/2006-02-16/GR6D/군도6-7-2(원거리).jpg","","126.17867330","33.26837823"
"UR(서귀포시)-[상모로]-상-3","3방향표지","133513.16","-29680.79","/2006-02-16/GRP09048U/군도8-1-1(근거리).jpg","","","","","/2006-02-16/GRP09048U/군도8-1-2(원거리)(1).jpg","","126.28761476","33.22665954"
"UR(서귀포시)-[무영로40번길]-상-1","2지명방향표지","128457.84","-24676.94","/2006-02-16/GRP090413U/군도13-1-1(근거리).jpg","","","","","/2006-02-16/GRP090413U/군도13-1-2(원거리).jpg","","126.23298101","33.27157040"
"UR(서귀포시)-[무영로]-상-5","3방향표지","127112.74","-24423.79","/2006-02-16/GRP09049U/군도9-1-1(근거리).jpg","","","","","/2006-02-16/GRP09049U/군도9-1-2(원거리).jpg","","126.21845722","33.27375326"
"RR-1136[중산간동로]-하-166","관광지표지(사설 관광지표지 제외)","187275.71","-10497.04","/2005-04-17/NR16D/p4030710-118.jpg","","","","","/2005-04-17/NR16D/p4030709-117.jpg","","126.86401083","33.40172438"
"RR-1132[일주동로]-상-169","관광지표지(사설 관광지표지 제외)","164829.37","-25750.36","/2005-04-16/NR12U/p4050080-080.jpg","","","","","/2005-04-16/NR12U/p4050079-079.jpg","","126.62342232","33.26357744"
"RR-1115[산록남로]-상-36","2방향표지","161544.11","-20706.43","/2012-05-17/RR1115제2산록도로U/55.jpg","","","","","/2012-05-17/RR1115제2산록도로U/55-1.jpg","","126.58793885","33.30903434"
"RR-97[번영로]-상-64","2방향예고표지","162894.04","-1011.26","/2012-09-16/RR97번영로U/1.jpg","","","","","/2012-07-29/RR00097번영로U/36.jpg","","126.60162424","33.48666365"
"RR-97[번영로]-하-65","2방향예고표지","162875.23","-1053.24","/2012-07-29/RR00097번영로D/37.jpg","","","","","/2012-07-29/RR00097번영로D/38.jpg","","126.60137884","33.48620360"
"UR(서귀포시)-[월드컵로]-하-2","3방향표지","153905.06","-28694.87","/2012-05-15/URP0902월드컵로D/1-1.gif","","","","","/2012-05-15/URP0902월드컵로D/1.gif","","126.50637618","33.23672610"
