id,cid,name,addr,use_time,free,b_name,b_call,type,x_crdn,y_crdn
PI202320,01,강정코아루아파트3단지,제주특별자치도 서귀포시 신서로 89 (강정동), ,Y,차지비,1600-4047,02,33.258000,126.506000
PI202320,02,강정코아루아파트3단지,제주특별자치도 서귀포시 신서로 89 (강정동), ,Y,차지비,1600-4047,02,33.258000,126.506000
PI202684,01,대한예수교장로회봉개교회,"제주특별자치도 제주시 번영로 561-8 (봉개동, 봉개교회)", ,Y,차지비,1600-4047,02,33.487972,126.601299
PI202684,02,대한예수교장로회봉개교회,"제주특별자치도 제주시 번영로 561-8 (봉개동, 봉개교회)", ,Y,차지비,1600-4047,02,33.487972,126.601299
PI202923,01,(주)흥학산업개발,"제주특별자치도 제주시 서해안로 236 (도두일동, 도두해수파크)", ,Y,차지비,1600-4047,02,33.508831,126.471143
PI202923,02,(주)흥학산업개발,"제주특별자치도 제주시 서해안로 236 (도두일동, 도두해수파크)", ,Y,차지비,1600-4047,02,33.508831,126.471143
PI202931,02,수망관광휴양펜션,제주특별자치도 서귀포시 남원읍 서성로 986-24 (수망리), ,Y,차지비,1600-4047,02,33.336462,126.698427
PI202961,01,성읍일리마을회,"제주특별자치도 서귀포시 표선면 중산간동로 4658 (성읍리, 성읍1리사무소)", ,Y,차지비,1600-4047,02,33.389906,126.797823
PI202967,01,한라산리조트주식회사,"제주특별자치도 제주시 선돌목동길 56-46 (오등동, 한라산컨트리클럽)", ,Y,차지비,1600-4047,02,33.445100,126.544000
PI202967,02,한라산리조트주식회사,"제주특별자치도 제주시 선돌목동길 56-46 (오등동, 한라산컨트리클럽)", ,Y,차지비,1600-4047,02,33.445100,126.544000
PI202970,01,디아일랜드마리나호텔,"제주특별자치도 서귀포시 성산읍 고성오조로 94 (고성리, 디아일랜드마리나호텔)", ,Y,차지비,1600-4047,02,33.452027,126.914415
PI202970,02,디아일랜드마리나호텔,"제주특별자치도 서귀포시 성산읍 고성오조로 94 (고성리, 디아일랜드마리나호텔)", ,Y,차지비,1600-4047,02,33.452027,126.914415
PI202971,01,블라제리조트,제주특별자치도 서귀포시 표선면 녹산로 274 (가시리), ,Y,차지비,1600-4047,02,33.378923,126.746953
PI202971,02,블라제리조트,제주특별자치도 서귀포시 표선면 녹산로 274 (가시리), ,Y,차지비,1600-4047,02,33.378923,126.746953
PI202974,01,오렌지슈가,"제주특별자치도 제주시 애월읍 하광로 540-66 (광령리, 스타하우스)", ,N,차지비,1600-4047,02,33.490069,126.421030
PI202974,02,오렌지슈가,"제주특별자치도 제주시 애월읍 하광로 540-66 (광령리, 스타하우스)", ,N,차지비,1600-4047,02,33.490069,126.421030
PI202975,01,제주막걸리,제주특별자치도 제주시 애월읍 일주서로 7238, ,N,차지비,1600-4047,02,33.441100,126.429000
PI202975,02,제주막걸리,제주특별자치도 제주시 애월읍 일주서로 7238, ,N,차지비,1600-4047,02,33.441100,126.429000
PI203034,01,(주)소봉하우징,제주특별자치도 제주시 연북로 257,24시간 이용가능,Y,차지비,1600-4047,02,33.481712,126.508941
PI203034,02,(주)소봉하우징,제주특별자치도 제주시 연북로 257,24시간 이용가능,Y,차지비,1600-4047,02,33.481712,126.508941
PI203034,03,(주)소봉하우징,제주특별자치도 제주시 연북로 257,24시간 이용가능,Y,차지비,1600-4047,02,33.481712,126.508941
PI203034,04,(주)소봉하우징,제주특별자치도 제주시 연북로 257,24시간 이용가능,Y,차지비,1600-4047,02,33.481712,126.508941
PI203034,05,(주)소봉하우징,제주특별자치도 제주시 연북로 257,24시간 이용가능,Y,차지비,1600-4047,02,33.481712,126.508941
PI203034,06,(주)소봉하우징,제주특별자치도 제주시 연북로 257,24시간 이용가능,Y,차지비,1600-4047,02,33.481712,126.508941
PI203034,07,(주)소봉하우징,제주특별자치도 제주시 연북로 257,24시간 이용가능,Y,차지비,1600-4047,02,33.481712,126.508941
PI203034,08,(주)소봉하우징,제주특별자치도 제주시 연북로 257,24시간 이용가능,Y,차지비,1600-4047,02,33.481712,126.508941
PI203052,01,글램블루호텔,제주특별자치도 서귀포시 명동로 46,24시간 이용가능,Y,차지비,1600-4047,02,33.247270,126.566866
PI203052,02,글램블루호텔,제주특별자치도 서귀포시 명동로 46,24시간 이용가능,Y,차지비,1600-4047,02,33.247270,126.566866
PI203116,01,아리아호텔,제주특별자치도 서귀포시 중문관광로 23-1,24시간 이용가능,Y,차지비,1600-4047,02,33.255873,126.415472
PI203116,02,아리아호텔,제주특별자치도 서귀포시 중문관광로 23-1,24시간 이용가능,Y,차지비,1600-4047,02,33.255873,126.415472
PI203118,01,더큐브리조트,제주특별자치도 서귀포시 솔오름로105번길 24,24시간 이용가능,Y,차지비,1600-4047,02,33.286372,126.563562
PI203118,02,더큐브리조트,제주특별자치도 서귀포시 솔오름로105번길 24,24시간 이용가능,Y,차지비,1600-4047,02,33.286372,126.563562
PI306058,01,한라병원,제주특별자치도 제주시 도령로 65,24시간 이용가능,N,차지비,1600-4047,02,33.490114,126.485089
PI306058,02,한라병원,제주특별자치도 제주시 도령로 65,24시간 이용가능,N,차지비,1600-4047,02,33.490114,126.485089
PI306058,03,한라병원,제주특별자치도 제주시 도령로 65,24시간 이용가능,N,차지비,1600-4047,02,33.490114,126.485089
PI306058,04,한라병원,제주특별자치도 제주시 도령로 65,24시간 이용가능,N,차지비,1600-4047,02,33.490114,126.485089
PI306058,05,한라병원,제주특별자치도 제주시 도령로 65,24시간 이용가능,N,차지비,1600-4047,02,33.490114,126.485089
PI306058,06,한라병원,제주특별자치도 제주시 도령로 65,24시간 이용가능,N,차지비,1600-4047,02,33.490114,126.485089
PI306058,07,한라병원,제주특별자치도 제주시 도령로 65,24시간 이용가능,N,차지비,1600-4047,02,33.490114,126.485089
PI306058,08,한라병원,제주특별자치도 제주시 도령로 65,24시간 이용가능,N,차지비,1600-4047,02,33.490114,126.485089
PI306058,09,한라병원,제주특별자치도 제주시 도령로 65,24시간 이용가능,N,차지비,1600-4047,02,33.490114,126.485089
PI306058,10,한라병원,제주특별자치도 제주시 도령로 65,24시간 이용가능,N,차지비,1600-4047,02,33.490114,126.485089
PI306061,01,브리타니JKDNC연립주택,제주특별자치도 서귀포시 칠십리로 306,24시간 이용가능,Y,차지비,1600-4047,02,33.247262,126.585168
PI306061,02,브리타니JKDNC연립주택,제주특별자치도 서귀포시 칠십리로 306,24시간 이용가능,Y,차지비,1600-4047,02,33.247262,126.585168
PI306064,01,연동대림2차아파트,제주특별자치도 제주시 연화로 25,24시간 이용가능,Y,차지비,1600-4047,02,33.479509,126.488549
PI306064,02,연동대림2차아파트,제주특별자치도 제주시 연화로 25,24시간 이용가능,Y,차지비,1600-4047,02,33.479509,126.488549
PI306064,03,연동대림2차아파트,제주특별자치도 제주시 연화로 25,24시간 이용가능,Y,차지비,1600-4047,02,33.479509,126.488549
PI306064,04,연동대림2차아파트,제주특별자치도 제주시 연화로 25,24시간 이용가능,Y,차지비,1600-4047,02,33.479509,126.488549
PI306064,05,연동대림2차아파트,제주특별자치도 제주시 연화로 25,24시간 이용가능,Y,차지비,1600-4047,02,33.479509,126.488549
PI306064,06,연동대림2차아파트,제주특별자치도 제주시 연화로 25,24시간 이용가능,Y,차지비,1600-4047,02,33.479509,126.488549
PI306064,07,연동대림2차아파트,제주특별자치도 제주시 연화로 25,24시간 이용가능,Y,차지비,1600-4047,02,33.479509,126.488549
PI306064,08,연동대림2차아파트,제주특별자치도 제주시 연화로 25,24시간 이용가능,Y,차지비,1600-4047,02,33.479509,126.488549
PI306064,09,연동대림2차아파트,제주특별자치도 제주시 연화로 25,24시간 이용가능,Y,차지비,1600-4047,02,33.479509,126.488549
PI306064,10,연동대림2차아파트,제주특별자치도 제주시 연화로 25,24시간 이용가능,Y,차지비,1600-4047,02,33.479509,126.488549
PI306135,01,서귀포강정엘에이치아파트,제주특별자치도 서귀포시 대청로25번길 9,24시간 이용가능,Y,차지비,1600-4047,02,33.254165,126.502350
PI306135,02,서귀포강정엘에이치아파트,제주특별자치도 서귀포시 대청로25번길 9,24시간 이용가능,Y,차지비,1600-4047,02,33.254165,126.502350
PI306135,03,서귀포강정엘에이치아파트,제주특별자치도 서귀포시 대청로25번길 9,24시간 이용가능,Y,차지비,1600-4047,02,33.254165,126.502350
PI306135,04,서귀포강정엘에이치아파트,제주특별자치도 서귀포시 대청로25번길 9,24시간 이용가능,Y,차지비,1600-4047,02,33.254165,126.502350
PI306135,05,서귀포강정엘에이치아파트,제주특별자치도 서귀포시 대청로25번길 9,24시간 이용가능,Y,차지비,1600-4047,02,33.254165,126.502350
PI306138,01,한화호텔앤드리조트,제주특별자치도 제주시 명림로 575-107,24시간 이용가능,Y,차지비,1600-4047,02,33.448504,126.638212
PI306138,02,한화호텔앤드리조트,제주특별자치도 제주시 명림로 575-107,24시간 이용가능,Y,차지비,1600-4047,02,33.448504,126.638212
PI306138,03,한화호텔앤드리조트,제주특별자치도 제주시 명림로 575-107,24시간 이용가능,Y,차지비,1600-4047,02,33.448504,126.638212
PI306138,04,한화호텔앤드리조트,제주특별자치도 제주시 명림로 575-107,24시간 이용가능,Y,차지비,1600-4047,02,33.448504,126.638212
